product_id,store_id,total
1,1,48.75
2,1,94.375
5,1,35
7,1,20
8,1,34.25
9,1,43
13,1,13
14,1,7.5
15,1,0.5
19,1,142.5
2,2,84.375
3,2,49.25
5,2,27.5
6,2,21.75
8,2,28.75
9,2,43.75
11,2,176.75
14,2,4.5
15,2,3.5
20,2,102.5
1,3,38.75
3,3,53.75
4,3,68
6,3,14.375
7,3,17.25
9,3,40
10,3,9.5
15,3,0.5
16,3,78
2,4,99.25
4,4,86.75
5,4,43.75
8,4,35
10,4,17.5
11,4,197.5
16,4,112.5
17,4,68
1,5,54.25
3,5,64.25
5,5,40.5
6,5,27.25
9,5,53.5
11,5,198
12,5,147.5
17,5,58
18,5,36
2,6,87.5
4,6,88.75
6,6,30.5
7,6,28.75
10,6,26
11,6,212.5
12,6,158
13,6,13.75
18,6,40.5
