Transaction_id,Store_id,Product_id,Cust_id,Employee_id,Amount,Date,Quantity,Payment_type
3099,1,1,1,1,375.625,2024-12-19,2.5,Credit Card
3119,3,1,1,8,375.625,2024-12-19,2.5,Credit Card
3121,5,1,3,15,375.625,2024-12-19,2.5,Cash
3099,1,2,1,1,901.125,2024-12-19,11.25,Credit Card
3100,2,2,2,2,901.125,2024-12-19,11.25,Debit Card
3120,4,2,2,4,901.125,2024-12-19,11.25,Debit Card
3120,4,2,2,9,901.125,2024-12-19,11.25,Debit Card
3128,6,2,10,18,1802.25,2024-12-19,22.5,Debit Card
3100,2,3,2,2,300,2024-12-19,2.5,Debit Card
3101,3,3,3,3,300,2024-12-19,2.5,Cash
3121,5,3,3,15,300,2024-12-19,2.5,Cash
3101,3,4,3,3,250,2024-12-19,2.5,Cash
3102,4,4,4,4,750,2024-12-19,7.5,Credit Card
3122,6,4,4,17,250,2024-12-19,2.5,PayPal
3125,3,4,7,13,250,2024-12-19,2.5,Cash
3102,4,5,4,4,50,2024-12-19,2.5,Credit Card
3103,5,5,5,5,200,2024-12-19,10,PayPal
3118,2,5,20,2,450,2024-12-19,22.5,Debit Card
3123,1,5,5,11,200,2024-12-19,10,Credit Card
3126,4,5,8,9,200,2024-12-19,10,PayPal
3103,5,6,5,5,2250,2024-12-19,7.5,PayPal
3104,6,6,6,6,3000,2024-12-19,10,Cash
3119,3,6,1,13,3375,2024-12-19,11.25,Credit Card
3124,2,6,6,12,2250,2024-12-19,7.5,Debit Card
3127,5,6,9,10,900,2024-12-19,3,Credit Card
3104,6,7,6,6,251.75,2024-12-19,2.5,Cash
3105,1,7,7,11,1007,2024-12-19,10,Credit Card
3125,3,7,7,8,251.75,2024-12-19,2.5,Cash
3105,1,8,7,16,625,2024-12-19,2.5,Credit Card
3106,2,8,8,12,625,2024-12-19,2.5,Debit Card
3126,4,8,8,9,2500,2024-12-19,10,PayPal
3106,2,9,8,7,102,2024-12-19,2.5,Debit Card
3107,3,9,9,8,40.8,2024-12-19,1,Credit Card
3117,1,9,19,16,918,2024-12-19,22.5,PayPal
3127,5,9,9,10,122.4,2024-12-19,3,Credit Card
3107,3,10,9,13,500,2024-12-19,1,Credit Card
3108,4,10,10,9,11250,2024-12-19,22.5,Cash
3128,6,10,10,18,11250,2024-12-19,22.5,Debit Card
3108,4,11,10,14,4505.4,2024-12-19,22.5,Cash
3109,5,11,11,10,4505.4,2024-12-19,22.5,PayPal
3116,6,11,18,18,4505.4,2024-12-19,22.5,Cash
3124,2,11,6,12,1501.8,2024-12-19,7.5,Debit Card
3109,5,12,11,10,3375,2024-12-19,22.5,PayPal
3110,6,12,12,17,3375,2024-12-19,22.5,Debit Card
3110,6,13,12,17,793.125,2024-12-19,22.5,Debit Card
3111,1,13,13,16,793.125,2024-12-19,22.5,Credit Card
3122,6,13,4,6,88.125,2024-12-19,2.5,PayPal
3111,1,14,13,1,905.625,2024-12-19,22.5,Credit Card
3112,2,14,14,12,905.625,2024-12-19,22.5,Cash
3112,2,15,14,12,262.5,2024-12-19,10.5,Cash
3113,3,15,15,13,562.5,2024-12-19,22.5,PayPal
3123,1,15,5,11,250,2024-12-19,10,Credit Card
3113,3,16,15,13,1014.75,2024-12-19,22.5,PayPal
3114,4,16,16,14,1014.75,2024-12-19,22.5,Debit Card
3114,4,17,16,14,1125,2024-12-19,22.5,Debit Card
3115,5,17,17,15,1125,2024-12-19,22.5,Credit Card
3115,5,18,17,10,675,2024-12-19,22.5,Credit Card
3116,6,18,18,18,675,2024-12-19,22.5,Cash
3117,1,19,19,1,2270.25,2024-12-19,22.5,PayPal
3118,2,20,20,2,1127.7,2024-12-19,22.5,Debit Card
